Source,depth of cut (mm),cutting speed (m/menit),feed (mm/rev),tool nose radius (mm),workpiece hardness (brinell),Ra (mikrometer)
doi.org/10.1016/j.matpr.2017.12.087,0.2,150,0.05,0.4,628,0.5
doi.org/10.1016/j.matpr.2017.12.087,0.2,150,0.05,0.8,628,0.8
doi.org/10.1016/j.matpr.2017.12.087,0.2,150,0.05,1.2,628,1.14
doi.org/10.1016/j.matpr.2017.12.087,0.5,150,0.1,0.4,628,1.05
doi.org/10.1016/j.matpr.2017.12.087,0.5,150,0.1,0.8,628,1.16
doi.org/10.1016/j.matpr.2017.12.087,0.5,150,0.1,1.2,628,2.04
doi.org/10.1016/j.matpr.2017.12.087,0.8,150,0.2,0.4,628,1.8
doi.org/10.1016/j.matpr.2017.12.087,0.8,150,0.2,0.8,628,1.3
doi.org/10.1016/j.matpr.2017.12.087,0.8,150,0.2,1.2,628,1.7
doi.org/10.1016/j.matpr.2017.12.087,0.2,250,0.05,0.4,628,1.4
doi.org/10.1016/j.matpr.2017.12.087,0.2,250,0.05,0.8,628,0.97
doi.org/10.1016/j.matpr.2017.12.087,0.2,250,0.05,1.2,628,2.4
doi.org/10.1016/j.matpr.2017.12.087,0.5,250,0.1,0.4,628,1.7
doi.org/10.1016/j.matpr.2017.12.087,0.5,250,0.1,0.8,628,2.1
doi.org/10.1016/j.matpr.2017.12.087,0.5,250,0.1,1.2,628,2.5
doi.org/10.1016/j.matpr.2017.12.087,0.8,250,0.2,0.4,628,2.4
doi.org/10.1016/j.matpr.2017.12.087,0.8,250,0.2,0.8,628,1.66
doi.org/10.1016/j.matpr.2017.12.087,0.8,250,0.2,1.2,628,2.7
doi.org/10.1016/j.matpr.2017.12.087,0.2,350,0.05,0.4,628,1.13
doi.org/10.1016/j.matpr.2017.12.087,0.2,350,0.05,0.8,628,1.3
doi.org/10.1016/j.matpr.2017.12.087,0.2,350,0.05,1.2,628,2.09
doi.org/10.1016/j.matpr.2017.12.087,0.5,350,0.1,0.4,628,1.9
doi.org/10.1016/j.matpr.2017.12.087,0.5,350,0.1,0.8,628,1.7
doi.org/10.1016/j.matpr.2017.12.087,0.5,350,0.1,1.2,628,2.1
doi.org/10.1016/j.matpr.2017.12.087,0.8,350,0.2,0.4,628,2.12
doi.org/10.1016/j.matpr.2017.12.087,0.8,350,0.2,0.8,628,1.8
doi.org/10.1016/j.matpr.2017.12.087,0.8,350,0.2,1.2,628,2.6
10.7166/24-2-593,0.5,100,0.08,0.8,260,1.89
10.7166/24-2-593,0.75,100,0.08,0.8,260,2.08
10.7166/24-2-593,1,100,0.08,0.8,260,2.11
10.7166/24-2-593,0.5,100,0.1,0.8,260,2.08
10.7166/24-2-593,0.75,100,0.1,0.8,260,1.76
10.7166/24-2-593,1,100,0.1,0.8,260,1.52
10.7166/24-2-593,0.5,120,0.06,0.8,260,1.31
10.7166/24-2-593,0.75,120,0.06,0.8,260,1.22
10.7166/24-2-593,1,120,0.06,0.8,260,1.46
10.7166/24-2-593,0.5,120,0.08,0.8,260,1.99
10.7166/24-2-593,0.75,120,0.08,0.8,260,1.95
10.7166/24-2-593,1,120,0.08,0.8,260,1.88
10.7166/24-2-593,0.5,120,0.1,0.8,260,2.33
10.7166/24-2-593,0.75,120,0.1,0.8,260,2.48
10.7166/24-2-593,1,120,0.1,0.8,260,2.01
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,0.3,150,0.11,0.8,580,1.426
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,0.3,150,0.11,1.2,580,0.984
